"countryCode","regionCode","regionName"
"AD",6,"Sant Julia de Loria"
"AD",5,"Ordino"
"AD",4,"La Massana"
"AD",3,"Encamp"
"AD",2,"Canillo"
"AD",7,"Andorra la Vella"
"AD",8,"Escaldes-Engordany"
"AE",7,"Umm al Qaywayn"
"AE",5,"Ra's al Khaymah"
"AE",3,"Dubai"
"AE",6,"Ash Shariqah"
"AE",4,"Al Fujayrah"
"AE",2,"Ajman"
"AE",1,"Abu Dhabi"
"AF",28,"Zabul"
"AF",27,"Vardak"
"AF",26,"Takhar"
"AF",33,"Sar-e Pol"
"AF",32,"Samangan"
"AF",40,"Parwan"
"AF",29,"Paktika"
"AF",36,"Paktia"
"AF",39,"Oruzgan"
"AF",19,"Nimroz"
"AF",18,"Nangarhar"
"AF",17,"Logar"
"AF",35,"Laghman"
"AF",24,"Kunduz"
"AF",34,"Kunar"
"AF",14,"Kapisa"
"AF",23,"Kandahar"
"AF",13,"Kabul"
"AF",31,"Jowzjan"
"AF",11,"Herat"
"AF",10,"Helmand"
"AF",9,"Ghowr"
"AF",8,"Ghazni"
"AF",7,"Faryab"
"AF",6,"Farah"
"AF",5,"Bamyan"
"AF",30,"Balkh"
"AF",3,"Baghlan"
"AF",2,"Badghis"
"AF",1,"Badakhshan"
"AF",37,"Khowst"
"AF",38,"Nuristan"
"AF",41,"Daykundi"
"AF",42,"Panjshir"
"AG",8,"Saint Philip"
"AG",7,"Saint Peter"
"AG",6,"Saint Paul"
"AG",5,"Saint Mary"
"AG",4,"Saint John"
"AG",3,"Saint George"
"AG",9,"Redonda"
"AG",1,"Barbuda"
"AI",11205389,"Blowing Point"
"AI",11205392,"Sandy Ground"
"AI",11205393,"Sandy Hill"
"AI",11205396,"The Valley"
"AI",11205433,"East End"
"AI",11205436,"North Hill"
"AI",11205437,"West End"
"AI",11205438,"South Hill"
"AI",11205439,"The Quarter"
"AI",11205440,"North Side"
"AI",11205441,"Island Harbour"
"AI",11205442,"George Hill"
"AI",11205443,"Stoney Ground"
"AI",11205444,"The Farrington"
"AL",40,"Berat"
"AL",41,"Diber"
"AL",43,"Elbasan"
"AL",45,"Gjirokaster"
"AL",46,"Korce"
"AL",47,"Kukes"
"AL",42,"Durres"
"AL",44,"Fier"
"AL",48,"Lezhe"
"AL",49,"Shkoder"
"AL",50,"Tirane"
"AL",51,"Vlore"
"AM",2,"Ararat"
"AM",8,"Syunik"
"AM",10,"Vayots Dzor"
"AM",11,"Yerevan"
"AM",1,"Aragatsotn"
"AM",3,"Armavir"
"AM",4,"Gegharkunik"
"AM",5,"Kotayk"
"AM",6,"Lori"
"AM",7,"Shirak"
"AM",9,"Tavush"
"AO",18,"Lunda Sul"
"AO",17,"Luanda Norte"
"AO",14,"Moxico"
"AO",4,"Cuando Cobango"
"AO",16,"Zaire"
"AO",15,"Uige"
"AO",12,"Malanje"
